store_name,store_addr,address_code,store_city,store_town,store_dist
석모점,"경기도 김포시 양촌읍 석모로45번길 34",41570,경기도,김포시,
석수,"경기도 안양시 만안구 안양로 574",41171,경기도,안양시,만안구
석암,"인천광역시 미추홀구 구월로 35",28177,인천광역시,미추홀구,
석촌흥국,"서울특별시 송파구 가락로 46 (석촌동)",11710,서울특별시,송파구,
선학,"인천광역시 연수구 경원대로 536",28185,인천광역시,연수구,
성산대교,"서울특별시 마포구 성산로 144 (성산동)",11440,서울특별시,마포구,
성황,"전라남도 광양시 전남 광양시 용장길 6 (성황동)",46230,전라남도,광양시,
세류,"경기도 수원시 권선구 권선로 568-13 (세류동)",41113,경기도,수원시,권선구
세마,"경기도 오산시 독산성로 397-27 (세교동)",41370,경기도,오산시,
세명,"서울특별시 송파구 삼학사로 22 (석촌동)",11710,서울특별시,송파구,
세종,"세종특별자치시 금남면 발산1길 53",36110,세종특별자치시,,
세종다정,"세종특별자치시 다정동 399번지",36110,세종특별자치시,,
세종도담,"세종특별자치시 갈매로 596",36110,세종특별자치시,,
세종집현점,"세종특별자치시 시청대로 669(집현동)",36110,세종특별자치시,,
소사본동,"경기도 부천시 소사구 경인로 402 (소사본동)",41190,경기도,부천시,
송도팰리스,"인천광역시 연수구 아트센터대로 198",28185,인천광역시,연수구,
송도행복,"인천광역시 연수구 송도과학로 13(송도동)",28185,인천광역시,연수구,
송죽,"경기도 수원시 장안구 경수대로 976번길 19",41111,경기도,수원시,장안구
송천,"전라북도 전주시 덕진구두간3길4",45110,전라북도,전주시,
수내동,"경기도 성남시 분당구 불정로 274",41135,경기도,성남시,분당구
수목원,"대구광역시 달서구 상화로 99",27290,대구광역시,달서구,
수완,"광주광역시 광산구 수완로74번길 13 (수완동)",29200,광주광역시,광산구,
수완장덕,"광주광역시 광산구 풍영로 204(장덕동)",29200,광주광역시,광산구,
수원망포,"경기도 수원시 영통구 영통로 96",41117,경기도,수원시,영통구
수원센터,"경기도 수원시 영통구 삼성로 257, 4필지",41117,경기도,수원시,영통구
수지동천,"경기도 용인시 수지구 동천로 219",41465,경기도,용인시,수지구
순천신대,"전라남도 순천시 해룡면 신대2길 6-77 1층1호",46150,전라남도,순천시,
스카이,"제주특별자치도 서귀포시 중산간동로 7859",50130,제주특별자치도,서귀포시,
"스타필드시티 명지","부산광역시 강서구 명지국제6로 168 4층 4120호",26440,부산광역시,강서구,
"스타필드시티 부천","경기도 부천시 옥길로1 남측주차장 B3층",41190,경기도,부천시,
스타필드안성,"경기도 안성시 공도읍 서동대로 3930-39 B140호",41550,경기도,안성시,
스타필드하남,"경기도 하남시 미사대로 750 지하1층 B170호(신장동)",41450,경기도,하남시,
신갈,"경기도 용인시 기흥구 신갈로 58번길 14-3",41463,경기도,용인시,기흥구
신공항,"인천광역시 중구 신도시남로141번길 6",28110,인천광역시,중구,
신대방,"서울특별시 동작구 여의대방로24길 54 (신대방동)",11590,서울특별시,동작구,
신도시,"전라남도 목포시 백년대로 281 (상동)",46110,전라남도,목포시,
신마산,"경상남도 창원시 마산합포구문화동3길23(월남동1가)",48120,경상남도,창원시,
신목동,"서울특별시 양천구 목동동로10길 13 (신정동)",11470,서울특별시,양천구,
신상무,"광주광역시 서구 화정로 8 (쌍촌동)",29140,광주광역시,서구,
신세기,"부산광역시 연제구 중앙대로 1179",26470,부산광역시,연제구,
신시가지,"경기도 의정부시 경의로 85",41150,경기도,의정부시,
신옥계,"경상북도 구미시 옥계신당로 5길 35 (옥계동)",47190,경상북도,구미시,
신창,"광주광역시 광산구 신가삼효로 14-19 (신가동)",29200,광주광역시,광산구,
신천열린카,"경기도 시흥시 신천로 40-1 (신천동)",41390,경기도,시흥시,
신탄진,"대전광역시 대덕구 신탄진로 610 (상서동)",30230,대전광역시,대덕구,
신평,"서울특별시 양천구 목동남로 62",11470,서울특별시,양천구,
